Id,Designator,Package,Quantity,Designation,Manufacturer,Part Number
1,BT1,JST_PH_B2B-PH-K_02x2.00mm_Straight,1,LiPo,JST Sales,B2B-PH-K-S(LF)(SN)
2,"D2,D4",C_1206,2,"LED, Red",Lite-On,LTST-C150EKT
3,D1,C_1206,1,"LED, Blue",Lite-On,LTST-C150TBKT
4,D3,C_1206,1,"LED, Amber",Lite-On,LTST-C150AKT
5,D5,C_1206,1,"LED, Green",Lite-On,LTST-C150GKT
6,F1,C_1206,1,FUSE,Bell Fuse,C1Q 1
7,"MIC2,MIC1",SPH1642HT5H,2,SPH1642HT5H-1,Knowles,SPH1642HT5H-1
8,"TP1,TP2",DNP,2,DNP,DNP,DNP
9,P5,Pin_Header_Straight_1x01_Pitch2.54mm,3,CONN_01X01,Samtec,SSW-101-01-G-S
10,P2,Pin_Header_Straight_1x04_Pitch2.54mm,1,CONN_01X04,Samtec,SSW-104-01-G-S
11,"P4,P6",Pin_Header_Straight_1x24_Pitch2.54mm,2,CONN_01X24,Samtec,SSW-124-01-G-S
12,"P7,P8,P9,P10,P11",DNP,5,DNP,DNP,DNP
13,"R12,R13",C_0603,2,0R,Vishay Dale,CRCW06030000Z0EA
14,"R14,R16,R17",DNP,3,DNP,DNP,DNP
15,RV1,Bourns_3386F,1,POT,Bourns,3386F-1-103TLF
16,SW1,CL-SB-22A,1,CL-SB-22A,Copal,CL-SB-22A-11T
17,U1,RN42,1,RN42,Microchip,RN42-I/RM
18,U2,UQFN-40-1EP_5x5mm_Pitch0.4mm,1,TLV320AIC3206IRSBT,Texas Insturment,TLV320AIC3206IRSBT
19,U3,SOT-23-5,1,MCP73831,Microchip,MCP73831T-2ACI/OT
20,U4,SOT-23-5,1,LP5907MFX-1.8,Texas Insturment,LP5907MFX-1.8/NOPB
21,J2,SJ-3524-SMT-TR,1,SJ-3524-SMT-TR-PI,CUI Inc,SJ-3524-SMT-TR-PI
22,J1,SJ-3523-SMT-TR,1,SJ-3523-SMT-TR,CUI Inc,SJ-3523-SMT-TR
23,"C1,C3,C5,C7,C10,C12,C13,C14,C16,C18",C_0402,10,0.1uF,TDK Corporation,C1005X7R1H104K050BB
24,"C2,C8,C17,C19,C23,C24,C25,C26",C_0402,8,2.2uF,TDK Corporation,C1005X6S1C225K050BC
25,"C4,C6,C11,C15,C21",C_0402,5,10uF,Samsung,CL05A106MP5NUNC
26,"C9,C20,C22",C_0402,3,1uF,TDK Corporation,C1005X5R1C105K050BC
27,"R1,R18,R21,R22,R23",R_0402,5,220R,Vishay Dale,CRCW0402220RFKED
28,"R19,R20",R_0402,2,1K,Vishay Dale,CRCW04021K00FKED
29,R24,R_0402,1,2K,Vishay Dale,CRCW04022K00FKED
30,"R2,R3,R4,R5,R6,R7,R8,R9,R10,R11",R_0201_NoSilk,10,33R,Yageo,RC0201FR-0733RL
31,R15,C_0603,1,2.2K,Vishay Dale,CRCW06032K20FKEAHP
